session_pitch,max_shoulder_external_rotation,time_max_shoulder_external_rotation,max_elbow_extension,time_max_elbow_extension,max_hip_shoulder_separation,time_max_hip_shoulder_separation
1031_2,162.348,1.3056,17.1386,1.0083,32.3152,1.1722
1031_3,162.8656,0.7917,17.0735,0.5,32.5547,0.6583
1097_1,158.8107,0.9722,17.0064,1.0889,33.1477,0.85
1097_2,155.2244,1.0306,20.2657,1.0639,27.9286,0.8944
1097_3,156.2257,1.0028,19.0973,0.6556,28.9909,0.8722
1170_1,155.2434,1.1361,22.5505,0.8167,38.4456,1.0028
1170_2,157.7356,1.0167,23.4728,0.6889,37.9762,0.8778
1250_1,164.4621,0.7472,15.4409,0.8472,27.946,0.6333
1250_3,171.7483,0.7694,5.8014,0.8389,30.1618,0.65
1313_1,158.2767,1.0722,18.3729,1.1694,39.9065,0.9611
1313_2,159.9967,1.0139,17.0315,1.1083,39.7564,0.9028
1313_3,163.6532,1.0806,19.8768,1.175,41.0581,0.9722
1346_1,181.1754,1.0806,25.8071,1.1139,40.9342,0.9694
1346_2,181.247,1.1194,23.3132,1.1556,41.5219,1.0083
1346_3,180.423,1.0917,25.6206,1.125,43.4676,0.9778
1370_1,156.3049,0.9417,21.5026,1.0306,28.4991,0.8306
1370_2,158.2781,0.9194,19.6483,1.0083,29.2075,0.8056
1370_3,158.9088,1.3139,20.8957,1.4056,28.6646,1.2
1371_2,176.3965,0.7083,35.4463,0.8083,31.2807,0.575
1371_3,177.1948,0.7167,38.1446,0.7528,29.8457,0.5861
1393_1,150.535,0.9417,24.1267,0.9778,16.1937,0.8167
1393_2,150.36,1.0167,24.7155,1.0528,13.1602,0.8917
1393_3,151.2893,1.0028,26.7646,1.0389,15.9429,0.875
1394_1,169.2997,0.9611,21.9961,0.6444,27.8676,0.8472
1394_2,170.0083,0.9611,23.2422,0.6306,28.2601,0.85
1394_3,171.4072,0.9667,23.5297,0.6472,27.8057,0.8528
1403_1,179.194,0.85,23.0431,0.4694,28.9473,0.7389
1403_2,179.7406,1.0,23.7499,0.6222,31.9787,0.8806
1403_3,179.8952,0.7889,22.4424,0.4167,31.0139,0.6722
1561_1,171.2329,1.6056,31.0219,1.7389,33.7945,1.475
1561_2,173.3027,1.4833,30.855,1.6222,33.5608,1.3667
1561_3,175.046,1.75,32.8049,1.375,33.2989,1.6167
1562_1,172.3515,1.3444,29.0764,1.4556,32.138,1.2361
1562_2,172.8179,1.4333,24.823,1.55,34.9612,1.3111
1562_3,174.8582,1.4194,31.1585,1.5333,33.5415,1.3139
1574_1,184.7196,1.3111,22.7821,0.9556,27.5131,1.1778
1574_2,181.0923,1.3472,24.2308,0.9889,27.8371,1.2139
1574_3,183.9835,1.2556,25.095,0.9111,27.6326,1.1222
1581_1,162.6345,1.5333,32.5982,1.8583,27.2202,1.4056
1581_2,163.9942,1.5833,33.0726,1.6861,28.4361,1.4556
1581_3,163.8234,1.4917,31.4724,1.5944,28.3802,1.3639
1601_1,174.1473,1.8861,26.5318,1.9833,35.827,1.75
